Broncode/Source code|Referentie/Reference
MI0232.00431| Overname van vergelijkbaar product:  431 Chocolade melk-
MI0232.00432| Overname van vergelijkbaar product:  432 Chocolade puur
MI0232.00433| Overname van vergelijkbaar product:  433 Vlokken chocolade- melk
MI0232.00436| Overname van vergelijkbaar product:  436 Pasta chocolade- hazelnoot
MI0232.00437| Overname van vergelijkbaar product:  437 Saus cocktail/party/tafel- 25% olie
MI0232.00444| Overname van vergelijkbaar product:  444 Pasta chocolade- puur
MI0232.00445| Overname van vergelijkbaar product:  445 Jam
MI0232.00450| Overname van vergelijkbaar product:  450 Zuurtjes
MI0232.00451| Overname van vergelijkbaar product:  451 Mayonaise
MI0232.00453| Overname van vergelijkbaar product:  453 Pepermunt
MI0232.00455| Overname van vergelijkbaar product:  455 Pindakaas
MI0232.00458| Overname van vergelijkbaar product:  458 Saus sla- 25% olie
MI0232.00462| Overname van vergelijkbaar product:  462 Ketchup tomaten-
MI0232.00463| Overname van vergelijkbaar product:  463 Siroop vruchtenlimonade-
MI0232.00465| Overname van vergelijkbaar product:  465 Saus frites- 25% olie
MI0232.00466| Overname van vergelijkbaar product:  466 Saus frites- 35% olie
MI0232.00470| Overname van vergelijkbaar product:  470 Bami goreng z ei
MI0232.00471| Overname van vergelijkbaar product:  471 Nasi goreng m ei
MI0232.00477| Overname van vergelijkbaar product:  477 Vla vanille- magere
MI0232.00482| Overname van vergelijkbaar product:  482 Spekkie
MI0232.00484| Overname van vergelijkbaar product:  484 Spread fruit- minder suiker
MI0232.00485| Overname van vergelijkbaar product:  485 IJs room/vanille- cornet m chocola en nootjes
MI0232.00487| Overname van vergelijkbaar product:  487 Candybar Mars
MI0232.00497| Overname van vergelijkbaar product:  497 Siroop vruchtenlimonade- vruchtenmix m rozenbottel
MI0232.00511| Overname van vergelijkbaar product:  511 Kaas Edammer 40+
MI0232.00513| Overname van vergelijkbaar product:  513 Kaas Goudse 48+ gem
MI0232.00514| Overname van vergelijkbaar product:  514 Kaas 20+ Leidse/Friese nagel-
MI0232.00515| Overname van vergelijkbaar product:  515 Kaas smeer- volvet 48+
MI0232.00516| Overname van vergelijkbaar product:  516 Kaas smeer- 40+
MI0232.00517| Overname van vergelijkbaar product:  517 Kaas smeer- 20+
MI0232.00520| Overname van vergelijkbaar product:  520 Drop zoute
MI0232.00522| Overname van vergelijkbaar product:  522 Drop zoete
MI0232.00530| Overname van vergelijkbaar product:  530 Meel pannenkoek-
MI0232.00535| Overname van vergelijkbaar product:  535 Cacaopoeder gezoet
MI0232.00553| Overname van vergelijkbaar product:  553 Dressing Becel Light
MI0232.00557| Overname van vergelijkbaar product:  557 Selderij bleek- rauw
MI0232.00558| Overname van vergelijkbaar product:  558 Selderij knol- rauw
MI0232.00559| Overname van vergelijkbaar product:  559 Koolraap rauw
MI0232.00560| Overname van vergelijkbaar product:  560 Koolrabi rauw
MI0232.00561| Overname van vergelijkbaar product:  561 Postelein rauw
MI0232.00562| Overname van vergelijkbaar product:  562 Prei rauw
MI0232.00563| Overname van vergelijkbaar product:  563 Snijbiet rauw
MI0232.00565| Overname van vergelijkbaar product:  565 Brood geroosterd toast
MI0232.00566| Overname van vergelijkbaar product:  566 Worst knak- blik/glas
MI0232.00567| Overname van vergelijkbaar product:  567 Worst boterham-
MI0232.00568| Overname van vergelijkbaar product:  568 Worst bloed-
MI0232.00575| Overname van vergelijkbaar product:  575 Spread sandwich- naturel
MI0232.00590| Overname van vergelijkbaar product:  590 Zemelen tarwe-
MI0232.00591| Overname van vergelijkbaar product:  591 Ontbijtproduct All-Bran Plus Kellogg's
MI0232.00593| Overname van vergelijkbaar product:  593 Kaas Brie 50+
MI0232.00596| Overname van vergelijkbaar product:  596 Knackebrod goudbruin
MI0232.00598| Overname van vergelijkbaar product:  598 Water 0-50 mg calcium p liter
MI0232.00604| Overname van vergelijkbaar product:  604 Makreel gestoomd
MI0232.00609| Overname van vergelijkbaar product:  609 Nasischijf diepvries gefrituurd in plantaardige olie
MI0232.00610| Overname van vergelijkbaar product:  610 Bamibal gefrituurd in plantaardige olie
MI0232.00616| Overname van vergelijkbaar product:  616 Saus sate- kant-en-klaar bereid
MI0232.00618| Overname van vergelijkbaar product:  618 Zoutje aardappel- Nibb-it
MI0232.00621| Overname van vergelijkbaar product:  621 Pinda's omhuld m chocolade in krokant suikerlaagje M&M's
MI0232.00638| Overname van vergelijkbaar product:  638 Worst cervelaat-
MI0232.00639| Overname van vergelijkbaar product:  639 Spek ontbijt-
MI0232.00640| Overname van vergelijkbaar product:  640 Worst lever-
MI0232.00641| Overname van vergelijkbaar product:  641 Bacon
MI0232.00645| Overname van vergelijkbaar product:  645 Thee bereid
MI0232.00654| Overname van vergelijkbaar product:  654 Kaas huttenkase
MI0232.00656| Overname van vergelijkbaar product:  656 Muesli z suiker
MI0232.00657| Overname van vergelijkbaar product:  657 Yoghurtdrank
MI0232.00658| Overname van vergelijkbaar product:  658 Rijst witte gekookt
MI0232.00660| Overname van vergelijkbaar product:  660 Bonen bruine blik/glas
MI0232.00667| Overname van vergelijkbaar product:  667 Cassave rauw
MI0232.00668| Overname van vergelijkbaar product:  668 Taro rauw
MI0232.00669| Overname van vergelijkbaar product:  669 Yam rauw
MI0232.00671| Overname van vergelijkbaar product:  671 Aardappel zoete rauw
MI0232.00672| Overname van vergelijkbaar product:  672 Agoemawiwiri rauw
MI0232.00680| Overname van vergelijkbaar product:  680 Okra rauw
MI0232.00682| Overname van vergelijkbaar product:  682 Pompoen rauw
MI0232.00683| Overname van vergelijkbaar product:  683 Sopropo rauw
MI0232.00687| Overname van vergelijkbaar product:  687 Tahoe bereid z vet
MI0232.00696| Overname van vergelijkbaar product:  696 Meel mais-
MI0232.00698| Overname van vergelijkbaar product:  698 Rundvlees gezouten rauw Surinaams
MI0232.00712| Overname van vergelijkbaar product:  712 Rijst zilvervlies- rauw
MI0232.00715| Overname van vergelijkbaar product:  715 Kaas room- 60+
MI0232.00717| Overname van vergelijkbaar product:  717 Chocolade melk- m hazelnoten
MI0232.00719| Overname van vergelijkbaar product:  719 Kaas room- zachte Mon Chou
MI0232.00724| Overname van vergelijkbaar product:  724 Kaas Emmentaler
MI0232.00725| Overname van vergelijkbaar product:  725 Kaas Cheddar
MI0232.00726| Overname van vergelijkbaar product:  726 Kaas blauwschimmel Bluefort
MI0232.00728| Overname van vergelijkbaar product:  728 Kaas room- zachte Boursin
MI0232.00752| Overname van vergelijkbaar product:  752 Winegum/fruitgom
MI0232.00783| Overname van vergelijkbaar product:  783 Worst paling-
MI0232.00784| Overname van vergelijkbaar product:  784 Ham achter-
MI0232.00785| Overname van vergelijkbaar product:  785 Ham schouder-
MI0232.00797| Overname van vergelijkbaar product:  797 Soep op groentebasis bereid pakje
MI0232.00799| Overname van vergelijkbaar product:  799 Soep op peulvruchtenbasis bereid pakje
MI0232.00800| Overname van vergelijkbaar product:  800 Soep op groentebasis kant-en-klaar blik/zak/pak
MI0232.00801| Overname van vergelijkbaar product:  801 Soep op vleesbasis kant-en-klaar blik/zak/pak
MI0232.00812| Overname van vergelijkbaar product:  812 Room zure
MI0232.00813| Overname van vergelijkbaar product:  813 Schol rauw
MI0232.00817| Overname van vergelijkbaar product:  817 Schol gebakken
MI0232.00818| Overname van vergelijkbaar product:  818 Lekkerbekje gefrituurd in plantaardige olie
MI0232.00819| Overname van vergelijkbaar product:  819 Kabeljauw gekookt
MI0232.00820| Overname van vergelijkbaar product:  820 Kabeljauw rauw
MI0232.00824| Overname van vergelijkbaar product:  824 Mosterd
MI0232.00826| Overname van vergelijkbaar product:  826 Kaneel
MI0232.00830| Overname van vergelijkbaar product:  830 Knoflook rauw
MI0232.00832| Overname van vergelijkbaar product:  832 Gemberwortel
MI0232.00838| Overname van vergelijkbaar product:  838 Sesamzaad
MI0232.00839| Overname van vergelijkbaar product:  839 Bonen soja- gedroogd
MI0232.00841| Overname van vergelijkbaar product:  841 Zout m toegevoegd jodium
MI0232.00842| Overname van vergelijkbaar product:  842 Bouillonpoeder
MI0232.00845| Overname van vergelijkbaar product:  845 Candybar Twix
MI0232.00849| Overname van vergelijkbaar product:  849 Venkel rauw
MI0232.00856| Overname van vergelijkbaar product:  856 Rosti onbereid
MI0232.00860| Overname van vergelijkbaar product:  860 Aroma strooi-
MI0232.00863| Overname van vergelijkbaar product:  863 Yoghurt vruchten- volle
MI0232.00870| Overname van vergelijkbaar product:  870 Drink soja- naturel
MI0232.00876| Overname van vergelijkbaar product:  876 Pinda's gezouten
MI0232.00878| Overname van vergelijkbaar product:  878 Croissants uit blik afgebakken
MI0232.00881| Overname van vergelijkbaar product:  881 Kaas 48+ minder zout gem
MI0232.00884| Overname van vergelijkbaar product:  884 Paprika rode rauw
MI0232.00885| Overname van vergelijkbaar product:  885 Paprika rode gekookt
MI0232.00886| Overname van vergelijkbaar product:  886 Frites oven- bereid (NA)
MI0232.00887| Overname van vergelijkbaar product:  887 Muesli m suiker
MI0232.00898| Overname van vergelijkbaar product:  898 Pasteibakje roomboter-
MI0232.00901| Overname van vergelijkbaar product:  901 Broodje worsten-
MI0232.00915| Overname van vergelijkbaar product:  915 Pudding chocolade- m roomsaus
MI0232.00917| Overname van vergelijkbaar product:  917 Kwark vruchten- halfvolle
MI0232.00918| Overname van vergelijkbaar product:  918 Schol gekookt
MI0232.00921| Overname van vergelijkbaar product:  921 Broccoli rauw
MI0232.00922| Overname van vergelijkbaar product:  922 Courgette rauw
MI0232.00923| Overname van vergelijkbaar product:  923 Sap peren-
MI0232.00928| Overname van vergelijkbaar product:  928 Kaas 40+ natriumarm
MI0232.00944| Overname van vergelijkbaar product:  944 Kroket vlees- bereid in oven
MI0232.00950| Overname van vergelijkbaar product:  950 Gist vers
MI0232.00951| Overname van vergelijkbaar product:  951 Bonen sperzie- gekookt
MI0232.00952| Overname van vergelijkbaar product:  952 Kool boeren- diepvries gekookt
MI0232.00953| Overname van vergelijkbaar product:  953 Doperwten diepvries gekookt
MI0232.00954| Overname van vergelijkbaar product:  954 Bonen sperzie- diepvries gekookt
MI0232.00957| Overname van vergelijkbaar product:  957 Asperge witte gekookt
MI0232.00958| Overname van vergelijkbaar product:  958 Biet rode gekookt
MI0232.00960| Overname van vergelijkbaar product:  960 Schorseneren gekookt
MI0232.00961| Overname van vergelijkbaar product:  961 Bonen snij- gekookt
MI0232.00962| Overname van vergelijkbaar product:  962 Bonen tuin- gekookt
MI0232.00963| Overname van vergelijkbaar product:  963 Doperwten gekookt
MI0232.00964| Overname van vergelijkbaar product:  964 Peultjes gekookt
MI0232.00972| Overname van vergelijkbaar product:  972 Erwten groene gekookt
MI0232.00975| Overname van vergelijkbaar product:  975 Knackebrod sesam
MI0232.00982| Overname van vergelijkbaar product:  982 Aardappelen z schil gekookt gem
MI0232.00994| Overname van vergelijkbaar product:  994 Puddingpoeder chocolade z suiker
MI0232.01013| Overname van vergelijkbaar product:  1013 Paneermeel
MI0232.01016| Overname van vergelijkbaar product:  1016 Cracker cream- Na-
MI0232.01020| Overname van vergelijkbaar product:  1020 Meel bak- zelfrijzend
MI0232.01095| Overname van vergelijkbaar product:  1095 Erwten kikker- gekookt
MI0232.01096| Overname van vergelijkbaar product:  1096 Zalm gerookt
MI0232.01097| Overname van vergelijkbaar product:  1097 Kaviaar
MI0232.01098| Overname van vergelijkbaar product:  1098 Inktvis rauw
MI0232.01103| Overname van vergelijkbaar product:  1103 Kaas smeer- 30+
MI0232.01105| Overname van vergelijkbaar product:  1105 Meloen water-
MI0232.01106| Overname van vergelijkbaar product:  1106 Meloen suiker-
MI0232.01110| Overname van vergelijkbaar product:  1110 Kaas Stilton
MI0232.01111| Overname van vergelijkbaar product:  1111 Kaas Camembert 30+
MI0232.01117| Overname van vergelijkbaar product:  1117 Puree aardbeien- blik/glas
MI0232.01132| Overname van vergelijkbaar product:  1132 Sap tomatengroenten-
MI0232.01144| Overname van vergelijkbaar product:  1144 Groente soep- diepvries onbereid
MI0232.01150| Overname van vergelijkbaar product:  1150 Aardappelschijfjes/-partjes ed diepvries onbereid
MI0232.01152| Overname van vergelijkbaar product:  1152 Worst salami
MI0232.01153| Overname van vergelijkbaar product:  1153 Augurk Na-
MI0232.01161| Overname van vergelijkbaar product:  1161 Komkommerschijven zoetzuur glas
MI0232.01162| Overname van vergelijkbaar product:  1162 Worst gekookte
MI0232.01213| Overname van vergelijkbaar product:  1213 Ketjap zout
MI0232.01215| Overname van vergelijkbaar product:  1215 Ketjap zoet
MI0232.01232| Overname van vergelijkbaar product:  1232 Sambal oelek
MI0232.01239| Overname van vergelijkbaar product:  1239 Worst smeerlever-
MI0232.01255| Overname van vergelijkbaar product:  1255 Makreel in water blik
MI0232.01260| Overname van vergelijkbaar product:  1260 Mayonaiseproduct m yoghurt
MI0232.01280| Overname van vergelijkbaar product:  1280 Babyvoeding fruit 4 mnd
MI0232.01294| Overname van vergelijkbaar product:  1294 Vruchtendrank m zuivel Taksi m suiker
MI0232.01302| Overname van vergelijkbaar product:  1302 Kaas room- zachte Paturain
MI0232.01305| Overname van vergelijkbaar product:  1305 Kip z vel rauw
MI0232.01311| Overname van vergelijkbaar product:  1311 Hagelslag chocolade- gem
MI0232.01312| Overname van vergelijkbaar product:  1312 Cracker luchtige Cracottes natural
MI0232.01317| Overname van vergelijkbaar product:  1317 Kip/bout z vel gegrild
MI0232.01321| Overname van vergelijkbaar product:  1321 Voedingsbiscuit Liga HaverKick
MI0232.01322| Overname van vergelijkbaar product:  1322 Cracker luchtige Cracottes volkoren
MI0232.01326| Overname van vergelijkbaar product:  1326 Gehakt hoh rul gebakken
MI0232.01356| Overname van vergelijkbaar product:  1356 Voedingsbiscuit Liga Evergreen ov smaken
MI0232.01361| Overname van vergelijkbaar product:  1361 Brood wit- Turks
MI0232.01381| Overname van vergelijkbaar product:  1381 Drink soja- Original Alpro
MI0232.01389| Overname van vergelijkbaar product:  1389 Drop gem
MI0232.01392| Overname van vergelijkbaar product:  1392 Kipfilet bereid
MI0232.01395| Overname van vergelijkbaar product:  1395 Brood rogge- gem
MI0232.01396| Overname van vergelijkbaar product:  1396 Rabarbermoes bereid m suiker
MI0232.01400| Overname van vergelijkbaar product:  1400 Runderbiefstuk rauw
MI0232.01402| Overname van vergelijkbaar product:  1402 Runderentrecote rauw
MI0232.01404| Overname van vergelijkbaar product:  1404 Runderbaklappen rauw
MI0232.01405| Overname van vergelijkbaar product:  1405 Gehakt runder- rauw
MI0232.01406| Overname van vergelijkbaar product:  1406 Runderklapstuk rauw
MI0232.01407| Overname van vergelijkbaar product:  1407 Lever runder- rauw
MI0232.01408| Overname van vergelijkbaar product:  1408 Runderpoulet rauw
MI0232.01409| Overname van vergelijkbaar product:  1409 Runderrollade rauw
MI0232.01410| Overname van vergelijkbaar product:  1410 Runderrosbief rauw
MI0232.01411| Overname van vergelijkbaar product:  1411 Runderschenkel rauw
MI0232.01412| Overname van vergelijkbaar product:  1412 Runderriblappen rauw
MI0232.01413| Overname van vergelijkbaar product:  1413 Runder doorregen lappen rauw
MI0232.01414| Overname van vergelijkbaar product:  1414 Rundersukadelappen rauw
MI0232.01415| Overname van vergelijkbaar product:  1415 Rundertartaar rauw
MI0232.01418| Overname van vergelijkbaar product:  1418 Varkensfiletlappen rauw
MI0232.01419| Overname van vergelijkbaar product:  1419 Varkensfricandeau rauw
MI0232.01420| Overname van vergelijkbaar product:  1420 Varkenshamlappen rauw
MI0232.01421| Overname van vergelijkbaar product:  1421 Gehakt varkens- rauw
MI0232.01422| Overname van vergelijkbaar product:  1422 Varkenshaas rauw
MI0232.01424| Overname van vergelijkbaar product:  1424 Varkenshaaskarbonade rauw
MI0232.01425| Overname van vergelijkbaar product:  1425 Varkensschouderkarbonade rauw
MI0232.01426| Overname van vergelijkbaar product:  1426 Lever varkens- rauw
MI0232.01430| Overname van vergelijkbaar product:  1430 Varkensschouderlappen rauw
MI0232.01432| Overname van vergelijkbaar product:  1432 Speklap rauw
MI0232.01434| Overname van vergelijkbaar product:  1434 Gehakt hoh rauw
MI0232.01436| Overname van vergelijkbaar product:  1436 Kalfsentrecote rauw
MI0232.01439| Overname van vergelijkbaar product:  1439 Lever kalfs- rauw
MI0232.01441| Overname van vergelijkbaar product:  1441 Kalfstong rauw
MI0232.01443| Overname van vergelijkbaar product:  1443 Lamsbout rauw
MI0232.01444| Overname van vergelijkbaar product:  1444 Gehakt lams-/schapen- rauw
MI0232.01445| Overname van vergelijkbaar product:  1445 Lamskarbonade rauw
MI0232.01447| Overname van vergelijkbaar product:  1447 Lamsschouder rauw
MI0232.01456| Overname van vergelijkbaar product:  1456 Frites voorgebakken diepvries onbereid
MI0232.01463| Overname van vergelijkbaar product:  1463 Vruchtendrank 2 of meer vruchten
MI0232.01464| Overname van vergelijkbaar product:  1464 Melk chocolade- halfvolle
MI0232.01468| Overname van vergelijkbaar product:  1468 Bier zwaar >7 vol% alcohol
MI0232.01481| Overname van vergelijkbaar product:  1481 Wafel rijst- naturel m (zee)zout
MI0232.01487| Overname van vergelijkbaar product:  1487 Kaas Brie 60+
MI0232.01502| Overname van vergelijkbaar product:  1502 Yoghurt halfvolle
MI0232.01503| Overname van vergelijkbaar product:  1503 Room slank- 25% vet onbereid
MI0232.01511| Overname van vergelijkbaar product:  1511 Hamburger vegetarisch onbereid
MI0232.01517| Overname van vergelijkbaar product:  1517 Saus op basis pakje <3% vet bereid
MI0232.01519| Overname van vergelijkbaar product:  1519 Bier alcoholvrij <0,1 vol% alcohol
MI0232.01521| Overname van vergelijkbaar product:  1521 Limonade vruchten- light
MI0232.01522| Overname van vergelijkbaar product:  1522 Frisdrank light z cafeine
MI0232.01528| Overname van vergelijkbaar product:  1528 Bouillon v blokje bereid
MI0232.01530| Overname van vergelijkbaar product:  1530 Boterproduct halfvolle
MI0232.01536| Overname van vergelijkbaar product:  1536 Runderbiefstuk bereid
MI0232.01539| Overname van vergelijkbaar product:  1539 Runderbaklappen bereid
MI0232.01540| Overname van vergelijkbaar product:  1540 Gehakt runder- rul gebakken
MI0232.01542| Overname van vergelijkbaar product:  1542 Lever runder- bereid
MI0232.01543| Overname van vergelijkbaar product:  1543 Runderpoulet bereid
MI0232.01545| Overname van vergelijkbaar product:  1545 Runderrosbief bereid
MI0232.01546| Overname van vergelijkbaar product:  1546 Runderschenkel bereid
MI0232.01547| Overname van vergelijkbaar product:  1547 Runderriblappen bereid
MI0232.01549| Overname van vergelijkbaar product:  1549 Rundersukadelappen bereid
MI0232.01550| Overname van vergelijkbaar product:  1550 Rundertartaar bereid
MI0232.01551| Overname van vergelijkbaar product:  1551 Varkensbraadworst bereid
MI0232.01553| Overname van vergelijkbaar product:  1553 Varkensfricandeau bereid
MI0232.01554| Overname van vergelijkbaar product:  1554 Varkenshamlappen bereid
MI0232.01556| Overname van vergelijkbaar product:  1556 Varkenshaas bereid
MI0232.01558| Overname van vergelijkbaar product:  1558 Varkenshaaskarbonade bereid
MI0232.01559| Overname van vergelijkbaar product:  1559 Varkensschouderkarbonade bereid
MI0232.01560| Overname van vergelijkbaar product:  1560 Lever varkens- bereid
MI0232.01564| Overname van vergelijkbaar product:  1564 Varkensschouderlappen bereid
MI0232.01568| Overname van vergelijkbaar product:  1568 Gehaktbal hoh m ei gebakken
MI0232.01570| Overname van vergelijkbaar product:  1570 Kalfsentrecote bereid
MI0232.01575| Overname van vergelijkbaar product:  1575 Lamsbout bereid
MI0232.01576| Overname van vergelijkbaar product:  1576 Gehakt lams- gebakken
MI0232.01577| Overname van vergelijkbaar product:  1577 Lamskarbonade bereid
MI0232.01584| Overname van vergelijkbaar product:  1584 Inktvisringen gefrituurd in plantaardige olie
MI0232.01587| Overname van vergelijkbaar product:  1587 Zalm kweek- rauw
MI0232.01589| Overname van vergelijkbaar product:  1589 Tonijn in olie blik
MI0232.01590| Overname van vergelijkbaar product:  1590 Tonijn in water blik
MI0232.01601| Overname van vergelijkbaar product:  1601 Gehaktbal runder- z ei gebakken
MI0232.01602| Overname van vergelijkbaar product:  1602 Drink soja- diverse smaken Alpro
MI0232.01606| Overname van vergelijkbaar product:  1606 Haring gerookt
MI0232.01611| Overname van vergelijkbaar product:  1611 Forel bereid in magnetron z toev
MI0232.01613| Overname van vergelijkbaar product:  1613 Kabeljauw bereid in magnetron z toev
MI0232.01617| Overname van vergelijkbaar product:  1617 Schol bereid in magnetron z toev
MI0232.01619| Overname van vergelijkbaar product:  1619 Tong bereid in magnetron z toev
MI0232.01624| Overname van vergelijkbaar product:  1624 Paling bereid in magnetron z toev
MI0232.01625| Overname van vergelijkbaar product:  1625 Paling zee- bereid in magnetron z toev
MI0232.01629| Overname van vergelijkbaar product:  1629 Kuit vis- gekleurd glas
MI0232.01634| Overname van vergelijkbaar product:  1634 Kipfilet rauw
MI0232.01635| Overname van vergelijkbaar product:  1635 Kip z vel bereid
MI0232.01641| Overname van vergelijkbaar product:  1641 Kiprollade bereid
MI0232.01645| Overname van vergelijkbaar product:  1645 Kipburger gepaneerd bereid
MI0232.01647| Overname van vergelijkbaar product:  1647 Varkensribkarbonade bereid
MI0232.01651| Overname van vergelijkbaar product:  1651 Stroop gerstemout-
MI0232.01655| Overname van vergelijkbaar product:  1655 Diksap geconcentreerd
MI0232.01656| Overname van vergelijkbaar product:  1656 Sap wortel-
MI0232.01662| Overname van vergelijkbaar product:  1662 Siroop vruchtenlimonade- citroen/sin Spontin
MI0232.01669| Overname van vergelijkbaar product:  1669 Varkensvlees >15 g vet rauw gem
MI0232.01678| Overname van vergelijkbaar product:  1678 Aardappelschijfjes diepvries gefrituurd in plantaardige olie
MI0232.01679| Overname van vergelijkbaar product:  1679 Frites oven- diepvries bereid in oven
MI0232.01720| Overname van vergelijkbaar product:  1720 Vla volle overige smaken
MI0232.01723| Overname van vergelijkbaar product:  1723 Kaas 20+
MI0232.01777| Overname van vergelijkbaar product:  1777 Ham been-
MI0232.01779| Overname van vergelijkbaar product:  1779 Knackebrod volkoren
MI0232.01788| Overname van vergelijkbaar product:  1788 Varkensribkarbonade rauw
MI0232.01790| Overname van vergelijkbaar product:  1790 Varkensschnitzel ongepaneerd rauw
MI0232.01791| Overname van vergelijkbaar product:  1791 Room spuitbus m suiker
MI0232.01808| Overname van vergelijkbaar product:  1808 Creme fraiche
MI0232.01809| Overname van vergelijkbaar product:  1809 Kaas 45+
MI0232.01810| Overname van vergelijkbaar product:  1810 Siroop vruchtenlimonade- Karvan Cevitam
MI0232.01811| Overname van vergelijkbaar product:  1811 Kousenband gekookt
MI0232.01813| Overname van vergelijkbaar product:  1813 Melkdrank Yakult original
MI0232.01832| Overname van vergelijkbaar product:  1832 Yoghurtdrank Vifit vruchten
MI0232.01879| Overname van vergelijkbaar product:  1879 Aroma strooi- natriumarm
MI0232.01885| Overname van vergelijkbaar product:  1885 Water gem
MI0232.01892| Overname van vergelijkbaar product:  1892 Paksoi rauw
MI0232.01896| Overname van vergelijkbaar product:  1896 Noten pistache- gezouten
MI0232.01897| Overname van vergelijkbaar product:  1897 Zeewier kelp rauw
MI0232.01933| Overname van vergelijkbaar product:  1933 Sap tomatengroenten- Appelsientje Tomatientje
MI0232.01937| Overname van vergelijkbaar product:  1937 Chips tortilla naturel
MI0232.01953| Overname van vergelijkbaar product:  1953 Plantaardige yoghurtvariatie m vruchten/vanille
MI0232.01955| Overname van vergelijkbaar product:  1955 Kaas Mozzarella gemaakt v koemelk
MI0232.01956| Overname van vergelijkbaar product:  1956 Halvarineproduct Becel pro-activ
MI0232.01961| Overname van vergelijkbaar product:  1961 Halvarineproduct Blue Band Goede Start
MI0232.01962| Overname van vergelijkbaar product:  1962 Hagelslag chocolade- melk
MI0232.01963| Overname van vergelijkbaar product:  1963 Hagelslag chocolade- puur
MI0232.01964| Overname van vergelijkbaar product:  1964 Pasta chocolade- melk
MI0232.01965| Overname van vergelijkbaar product:  1965 Voedingsbiscuit melkbiscuit Liga Milkbreak
MI0232.02004| Overname van vergelijkbaar product:  2004 Ontbijtproduct All-Bran Fruit 'n Fibre Kellogg's
MI0232.02057| Overname van vergelijkbaar product:  2057 Lamsvlees <10 g vet rauw gem
MI0232.02058| Overname van vergelijkbaar product:  2058 Schapenvlees <10 g vet gem rauw
MI0232.02059| Overname van vergelijkbaar product:  2059 Halvarine 40% vet <17 g verz vetz gezouten
MI0232.02062| Overname van vergelijkbaar product:  2062 Margarine 80% vet < 24 g verz vetz gezouten
MI0232.02066| Overname van vergelijkbaar product:  2066 Bak- en braadvet vloeib 97% vet <17g verz vetz gezouten
MI0232.02067| Overname van vergelijkbaar product:  2067 Bak- en braadvet vast 97% vet >17 g verz vetz gezouten
MI0232.02068| Overname van vergelijkbaar product:  2068 Vet frituur- vloeibaar
MI0232.02077| Overname van vergelijkbaar product:  2077 Margarine vloeibaar 80% vet <17 g verz vetz gezouten
MI0232.02081| Overname van vergelijkbaar product:  2081 Ontbijtproduct Cornflakes
MI0232.02106| Overname van vergelijkbaar product:  2106 Frites bereid m hard vet
MI0232.02107| Overname van vergelijkbaar product:  2107 Frites bereid m vloeibaar vet
MI0232.02109| Overname van vergelijkbaar product:  2109 Cassave gekookt
MI0232.02112| Overname van vergelijkbaar product:  2112 Aardappel zoete gekookt
MI0232.02134| Overname van vergelijkbaar product:  2134 Limonade vruchten- Dubbelfrisss
MI0232.02136| Overname van vergelijkbaar product:  2136 Limonade vruchten- Dubbelfrisss light
MI0232.02227| Overname van vergelijkbaar product:  2227 Biscuit fourre
MI0232.02229| Overname van vergelijkbaar product:  2229 Cracker VitaLU
MI0232.02232| Overname van vergelijkbaar product:  2232 Biscuit fruit-
MI0232.02240| Overname van vergelijkbaar product:  2240 Melk geiten- volle
MI0232.02254| Overname van vergelijkbaar product:  2254 Yoghurtdrank m zoetstof
MI0232.02262| Overname van vergelijkbaar product:  2262 Plantaardige variatie op room Alpro Cuisine
MI0232.02265| Overname van vergelijkbaar product:  2265 Melkdrank Yakult light
MI0232.02266| Overname van vergelijkbaar product:  2266 Chocolade witte
MI0232.02268| Overname van vergelijkbaar product:  2268 Creme fraiche halfvolle
MI0232.02277| Overname van vergelijkbaar product:  2277 Brood Blue Band Goede Start Witbrood
MI0232.02282| Overname van vergelijkbaar product:  2282 Valess schnitzel onbereid
MI0232.02290| Overname van vergelijkbaar product:  2290 Kokosmelk
MI0232.02293| Overname van vergelijkbaar product:  2293 Tomaat in blik
MI0232.02296| Overname van vergelijkbaar product:  2296 Koolvis (Atlantisch) rauw
MI0232.02297| Overname van vergelijkbaar product:  2297 Tonijn rauw
MI0232.02300| Overname van vergelijkbaar product:  2300 Worst rook- magere gekookt
MI0232.02315| Overname van vergelijkbaar product:  2315 Pomtajer bereid z vet
MI0232.02339| Overname van vergelijkbaar product:  2339 Vink runder- rauw
MI0232.02353| Overname van vergelijkbaar product:  2353 Brood muesli- obv meel/volkorenmeel
MI0232.02355| Overname van vergelijkbaar product:  2355 Brood suiker- wit
MI0232.02370| Overname van vergelijkbaar product:  2370 Zoutje luchtig mais/tarwebasis
MI0232.02378| Overname van vergelijkbaar product:  2378 Tomaat zongedroogd
MI0232.02433| Overname van vergelijkbaar product:  2433 Drink rijst- m calcium en vitamines
MI0232.02471| Overname van vergelijkbaar product:  2471 Mayonaiseproduct ca 35% olie
MI0232.02518| Overname van vergelijkbaar product:  2518 Kaas geiten- hard
MI0232.02524| Overname van vergelijkbaar product:  2524 Peper Spaanse rauw
MI0232.02548| Overname van vergelijkbaar product:  2548 Kroket vlees- diepvries onbereid
MI0232.02552| Overname van vergelijkbaar product:  2552 Kipkorn diepvries onbereid
MI0232.02559| Overname van vergelijkbaar product:  2559 Halvarineproduct Bewust light 30% vet <10g verz vetz ongezouten
MI0232.02610| Overname van vergelijkbaar product:  2610 Wijn rose
